,Institution Name,City,State,Zip Code,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate
3195,Paris Junior College,Paris,TX,75460,1,33.650929,-95.529177,2339.0,12659.0,,2520.0,5520.0,
3196,Paul Quinn College,Dallas,TX,75241,2,32.678837,-96.755778,938.0,21678.0,,13798.0,13798.0,0.5728
3197,Prairie View A & M University,Prairie View,TX,77446,1,30.092425,-95.989475,8103.0,25775.0,,11299.0,26874.0,0.7607
3198,Ranger College,Ranger,TX,76470,1,32.456773,-98.685215,2104.0,13399.0,,4600.0,8350.0,
3199,Aviation Institute of Maintenance-Houston,Houston,TX,77061,3,29.65852,-95.28262,250.0,25268.0,,16757.0,16757.0,
3200,Rice University,Houston,TX,77005-1827,2,29.717897,-95.402035,4480.0,71745.0,,54960.0,54960.0,0.0868
3201,Saint Edward's University,Austin,TX,78704-6489,2,30.229618,-97.754998,2751.0,63671.0,,50766.0,50766.0,0.851
3202,St Philip's College,San Antonio,TX,78203-2098,1,29.41508,-98.453285,9344.0,12147.0,,3262.0,14272.0,
3203,University of St Thomas,Houston,TX,77006-4696,2,29.736438,-95.393102,2524.0,42639.0,,32484.0,32484.0,0.9671
3204,Sam Houston State University,Huntsville,TX,77340,1,30.714738,-95.546205,18184.0,23962.0,,8960.0,18752.0,0.8463
3205,San Antonio College,San Antonio,TX,78212-3941,1,29.44634,-98.497647,15568.0,11834.0,,3262.0,14272.0,
3206,San Jacinto Community College,Pasadena,TX,77505,1,29.660032,-95.114677,22790.0,14372.0,,1872.0,5040.0,
3207,Schreiner University,Kerrville,TX,78028-5697,2,30.031458,-99.130586,1056.0,45167.0,,35614.0,35614.0,0.852
3208,Seguin Beauty School-Seguin,Seguin,TX,78155,3,29.569142,-97.96436,50.0,,21885.0,,,
3209,St. Mary's University,San Antonio,TX,78228,2,29.453244,-98.562778,1991.0,45724.0,,35226.0,35226.0,0.8622
3210,South Plains College,Levelland,TX,79336,1,33.575904,-102.365075,6378.0,12207.0,,2601.0,4857.0,
3211,South Texas Barber College Inc,Corpus Christi,TX,78415,3,27.754868,-97.417156,18.0,,20445.0,,,
