,Unnamed: 0,Institution Name,City,State,Zip Code,zip,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate,county,Median Income,Total Count,Below Poverty,Above Poverty,Poverty Rate
48,48,Frank Phillips College,Borger,TX,79008-5118,79008,Public,35.657778,-101.406005,726.0,11560.0,,3712.0,4882.0,,Hutchinson,62211,20404,2114,18290,10.360713585571457
49,49,Galveston College,Galveston,TX,77550-7496,77550,Public,29.284735,-94.807686,1522.0,13305.0,,2546.0,5726.0,,Galveston,83913,344758,37987,306771,11.018453523921128
50,50,Graham's Barber College,DALLAS,TX,75215-1701,75215,Private Non-Profit,32.774017,-96.76832,11.0,,,,,,Dallas,70732,2573799,359882,2213917,13.982521556656131
51,51,Grayson College,Denison,TX,75020-8299,75020,Public,33.70574,-96.633891,2707.0,11377.0,,2872.0,5692.0,,Grayson,66608,134425,15361,119064,11.427189882834297
52,52,Hallmark University,San Antonio,TX,78251,78251,Private for Profit,29.466862,-98.685754,792.0,,17432.0,,,0.5289,Bexar,67275,1977132,299972,1677160,15.172077534529812
53,53,Hardin-Simmons University,Abilene,TX,79698-0001,79698,Private for Profit,32.476434,-99.73564,1323.0,45285.0,,31686.0,31686.0,0.8825,Taylor,61806,136790,19947,116843,14.582206301630237
54,54,Trinity Valley Community College,Athens,TX,75751,75751,Public,32.196596,-95.858513,4591.0,12892.0,,2640.0,5970.0,,Henderson,59778,81208,11986,69222,14.759629593143533
55,55,Hill College,Hillsboro,TX,76645,76645,Public,32.010928,-97.088332,1925.0,14431.0,,3570.0,4720.0,,Hill,60669,35145,4681,30464,13.319106558543178
56,56,Houston Baptist University,Houston,TX,77074-3298,77074,Private for Profit,29.693819,-95.515954,2814.0,46360.0,,36750.0,36750.0,0.8448,Harris,70789,4677056,737681,3939375,15.772336273074345
57,57,University of Houston-Clear Lake,Houston,TX,77058-1002,77058,Public,29.582523,-95.098129,6343.0,28856.0,,7698.0,20994.0,0.6937,Harris,70789,4677056,737681,3939375,15.772336273074345
58,58,Houston Community College,Houston,TX,77002,77002,Public,29.742114,-95.377319,37871.0,12002.0,,2040.0,5460.0,,Harris,70789,4677056,737681,3939375,15.772336273074345
59,59,University of Houston-Downtown,Houston,TX,77002-1014,77002,Public,29.7661,-95.359338,12752.0,23217.0,,7708.0,17524.0,0.8842,Harris,70789,4677056,737681,3939375,15.772336273074345
60,60,University of Houston-Victoria,Victoria,TX,77901,77901,Public,28.816248,-96.976334,2699.0,21218.0,,7149.0,16941.0,0.8213,Victoria,66308,89351,14870,74481,16.642231200546163
61,61,University of Houston,Houston,TX,77204-2018,77204,Public,29.720393,-95.343537,37080.0,24130.0,,9699.0,21891.0,0.6624,Harris,70789,4677056,737681,3939375,15.772336273074345
62,62,Howard College,Big Spring,TX,79720,79720,Public,32.252292,-101.450104,1652.0,13419.0,,2720.0,5730.0,,Howard,67243,30537,4428,26109,14.500442086648984
63,63,Howard Payne University,Brownwood,TX,76801-2794,76801,Private for Profit,31.716467,-98.985204,721.0,42707.0,,31650.0,31650.0,0.6229,Brown,53792,36298,4822,31476,13.284478483663012
64,64,Huston-Tillotson University,Austin,TX,78702-2795,78702,Private for Profit,30.264667,-97.721691,991.0,25026.0,,14703.0,14703.0,0.5194,Travis,92731,1262697,142451,1120246,11.281487165963014
